DOI
10.1037/h0094350
10.1037/drm0000059
10.1037/h0094362
10.1037/drm0000114
10.1037/drm0000090
10.1037/drm0000188
10.1037/h0094324
10.1037/drm0000223
10.1037/1053-0797.14.4.234
10.1037/drm0000073
10.1037/a0017994
10.1037/a0036908
10.1037/a0019248
10.1023/a:1022186217703
10.1037/1053-0797.16.2.88
10.1037/h0094432
10.1037/drm0000012
10.1037/h0094358
10.1037/drm0000145
10.1037/1053-0797.18.2.112
10.1037/a0020881
10.1037/1053-0797.16.2.96.supp
10.1037/drm0000139
10.1037/h0094419
10.1037/drm0000172
10.1037/drm0000153
10.1037/a0013781
10.1037/drm0000124
10.1037/drm0000150
10.1037/e540532014-001
10.1037/1053-0797.13.3.181
10.1037/a0030105
10.1037/drm0000044
10.1037/drm0000101
10.1037/14258-006
10.1037/drm0000102
10.1023/a:1025325529560
10.1037/drm0000209
10.1037/t67063-000
10.1037/drm0000043
10.1037/1053-0797.16.2.96
10.1037/t12258-000
10.1037/drm0000094
10.1037/drm0000030
10.1037/a0034817
10.1037/1053-0797.16.1.22
10.1037/drm0000035
10.1037/10499-008
10.1037/drm0000152
10.1037/10371-005
10.1037/a0039165
10.1037/a0036942
10.1037/drm0000156
10.1037/drm0000199
10.1037/cns0000288
10.1037/e719152011-005
10.1037/drm0000163
10.1037/cns0000331
10.1037/e574722010-001
10.1037/1053-0797.17.1.35
10.1037/cns0000227
